@relation Luke-Lucene-and-Bing

@attribute LuceneRank numeric
@attribute BingRank numeric
@attribute LuceneScore numeric
@attribute Correct{1,0}


@data
3,?,0.3197595477104187,0
4,1,0.3197595477104187,0
5,24,0.3197595477104187,0
6,?,0.268403559923172,0
7,?,0.23249396681785583,0
8,?,0.22878819704055786,1
9,?,0.2240973562002182,0
10,?,0.2240973562002182,1
1,?,0.5311008095741272,0
2,2,0.33821919560432434,0
3,?,0.3355673551559448,0
4,35,0.30110254883766174,0
5,?,0.27945926785469055,0
6,?,0.2709974944591522,0
7,?,0.26945698261260986,0
8,?,0.26454561948776245,0
9,?,0.22392769157886505,0
10,7,0.22088521718978882,1
1,?,0.6071727871894836,0
2,?,0.307783842086792,0
3,?,0.2936670184135437,0
4,?,0.27364107966423035,1
5,?,0.239431232213974,0
6,?,0.2387475222349167,0
7,?,0.2370114028453827,1
8,3,0.2263590693473816,0
9,?,0.22620245814323425,0
10,?,0.22596806287765503,1
1,3,0.29256200790405273,0
2,?,0.18212422728538513,0
3,?,0.15988221764564514,0
4,?,0.15988221764564514,0
5,?,0.1507415771484375,0
6,?,0.1467525213956833,0
7,?,0.1277279257774353,0
8,?,0.1230149120092392,0
9,?,0.12296004593372345,0
10,?,0.12293805181980133,0
1,?,0.6248525381088257,0
2,?,0.5392633080482483,0
3,?,0.5392633080482483,0
4,?,0.5340732336044312,0
5,2,0.42652690410614014,0
6,?,0.37784773111343384,0
7,4,0.35991355776786804,0
8,?,0.34523651003837585,0
9,?,0.28612852096557617,0
10,?,0.2690604031085968,0
1,3,0.27461230754852295,0
2,?,0.252405047416687,0
3,?,0.18930378556251526,0
